player,team,league,pos,nation,age,playing time_min,performance_save%,performance_cs%,penalty kicks_save%,performance_ga_per90,performance_sota_per90,performance_saves_per90,performance_cs_per90,penalty kicks_pksv_per90
Pietro Terracciano,Milan,ITA-Serie A,GK,ITA,35,5975,77.25,68.675,7.15,1.1447698744769874,3.5397489539748954,2.470292887029289,0.24100418410041843,0.030125523012552304
Predrag Rajković,Mallorca,ESP-La Liga,GK,SRB,27,6480,69.0,23.599999999999998,17.15,1.1527777777777777,3.7222222222222223,2.6527777777777777,0.2361111111111111,0.027777777777777776
Péter Gulácsi,RB Leipzig,Unknown,GK,HUN,35,6349,68.825,39.4,8.325,1.2757914632225549,4.110883603717121,2.849267601197039,0.4252638210741849,0.014175460702472829
Radosław Majecki,Brest,FRA-Ligue 1,GK,POL,25,3294,69.26666666666667,30.566666666666666,0.0,1.366120218579235,4.53551912568306,3.1420765027322406,0.3005464480874317,0.0
Rafał Gikiewicz,Augsburg,Unknown,GK,POL,34,2070,70.1,21.7,66.7,1.782608695652174,5.956521739130435,4.173913043478261,0.21739130434782608,0.08695652173913043
Ralf Fährmann,Schalke 04,Unknown,GK,GER,33,1025,76.8,41.7,0.0,1.1414634146341465,4.917073170731707,3.775609756097561,0.43902439024390244,0.0
Razvan Sava,Udinese,ITA-Serie A,GK,ROU,23,1700,60.2,25.0,0.0,1.588235294117647,4.341176470588235,2.7529411764705882,0.2647058823529412,0.0
Robert Sánchez,Chelsea,ENG-Premier League,GK,ESP,28-296,9512,67.06,20.380000000000003,14.0,1.3246425567703952,4.115853658536586,2.78174936921783,0.2649285113540791,0.0283851976450799
Robin Olsen,Aston Villa,ENG-Premier League,GK,SWE,34,912,58.53333333333333,50.0,33.333333333333336,2.664473684210526,6.5131578947368425,3.848684210526316,0.19736842105263158,0.09868421052631579
Robin Risser,Lens,FRA-Ligue 1,GK,FRA,21-282,3240,66.4,16.65,20.0,1.1111111111111112,3.472222222222222,2.361111111111111,0.3055555555555556,0.05555555555555555
Robin Roefs,Sunderland,ENG-Premier League,GK,NED,23-236,3420,55.05,30.95,16.65,1.2894736842105263,4.184210526315789,2.894736842105263,0.2894736842105263,0.026315789473684213
Robin Zentner,Mainz 05,Unknown,GK,GER,31-317,8886,53.260000000000005,35.660000000000004,9.0,1.438217420661715,4.284267386900743,2.87643484132343,0.24307900067521945,0.02025658338960162
Rui Patrício,Atalanta,ITA-Serie A,GK,POR,36,5490,70.23333333333333,32.166666666666664,11.1,1.0655737704918034,3.2459016393442623,2.180327868852459,0.32786885245901637,0.01639344262295082
Rui Silva,Real Betis,ESP-La Liga,GK,POR,30,6165,69.10000000000001,28.766666666666666,4.166666666666667,1.2554744525547445,4.116788321167883,2.8613138686131383,0.29197080291970806,0.014598540145985401
Rémy Descamps,Lyon,FRA-Ligue 1,GK,FRA,30-077,1260,80.53999999999999,39.339999999999996,0.0,1.2142857142857144,4.857142857142858,3.6428571428571432,0.4285714285714286,0.0
Sam Johnstone,Wolves,ENG-Premier League,GK,ENG,32,4316,62.975,15.825,0.0,1.6265060240963856,4.316496756255793,2.6899907321594068,0.18767377201112143,0.0
Samir Handanović,Inter,ITA-Serie A,GK,SVN,38,1234,66.0,35.7,0.0,1.312803889789303,3.86547811993517,2.552674230145867,0.36466774716369527,0.0
Senne Lammens,Manchester Utd,ENG-Premier League,GK,BEL,24-065,3150,63.45,12.5,0.0,1.2857142857142856,3.8000000000000003,2.4857142857142858,0.22857142857142856,0.0
