player,team,league,age,nation,pos,playing time_min,standard_sot%,standard_g/sh,team success_ppm,performance_gls_per90,performance_ast_per90,performance_g-pk_per90,performance_pk_per90,performance_crdy_per90,performance_crdr_per90,performance_fls_per90,performance_fld_per90,performance_off_per90,performance_crs_per90,performance_int_per90,performance_tklw_per90,standard_sh_per90,standard_sot_per90
Krépin Diatta,Monaco,FRA-Ligue 1,26,SEN,"MF,DF",4799.0,27.05,0.025,1.8525,0.07501562825588665,0.09376953531985831,0.07501562825588665,0.0,0.18753907063971662,0.0,1.1252344238382996,1.2565117732861013,0.3188164200875182,2.775578245467806,1.0127109814544697,1.2752656803500728,1.106480516774328,0.37507814127943323
Kurt Zouma,West Ham,ENG-Premier League,28,FRA,DF,4827.0,37.7,0.15,1.295,0.09322560596643878,0.0,0.09322560596643878,0.0,0.05593536357986326,0.0,0.7085146053449348,0.22374145431945305,0.0,0.0,1.0254816656308265,0.3915475450590429,0.6525792417650715,0.24238657551274084
Kwasi Sibo,Oviedo,ESP-La Liga,27,GHA,MF,1681.0,22.2,0.0,0.88,0.0,0.0,0.0,0.0,0.16061867935752527,0.05353955978584176,1.6061867935752527,0.21415823914336704,0.0,0.10707911957168352,0.7495538370017846,1.0707911957168352,0.4818560380725758,0.10707911957168352
Kyle Walker,Milan,ITA-Serie A,34,ENG,DF,9450.0,15.76,0.0,1.7619999999999998,0.0,0.05714285714285714,0.0,0.0,0.17142857142857143,0.0,0.7904761904761904,0.5523809523809524,0.08571428571428572,1.4,0.9333333333333333,0.8,0.3047619047619048,0.05714285714285714
Kyle Walker-Peters,West Ham,ENG-Premier League,28,ENG,DF,6951.0,43.9,0.09333333333333334,0.7033333333333333,0.02589555459646094,0.02589555459646094,0.02589555459646094,0.0,0.14242555028053516,0.0,0.8416055243849807,1.5278377211911958,0.05179110919292188,1.5666810530858868,0.7250755287009063,1.2429866206301252,0.4790677600345274,0.18126888217522658
Kylian Mbappé,PSG,FRA-Ligue 1,24,FRA,FW,10842.0,51.2,0.182,1.7899999999999998,0.9629219701162146,0.16602102933038185,0.7636967349197564,0.1992252351964582,0.14111787493082456,0.008301051466519091,0.6557830658550083,1.3032650802434975,1.1455451023796348,1.1123408965135584,0.1079136690647482,0.09131156613171001,5.047039291643609,2.5235196458218043
Kévin Danois,Auxerre,FRA-Ligue 1,22-074,FRA,MF,4562.0,16.575,0.03,1.3475000000000001,0.059184568171854454,0.01972818939061815,0.059184568171854454,0.0,0.0789127575624726,0.0,1.183691363437089,0.9469530907496713,0.09864094695309074,2.88031565103025,1.1639631740464709,1.6571679088119247,0.9469530907496713,0.23673827268741782
Kévin Gameiro,Strasbourg,FRA-Ligue 1,36,FRA,"FW,MF",3444.0,48.95,0.18,1.15,0.3658536585365854,0.05226480836236934,0.2874564459930314,0.078397212543554,0.02613240418118467,0.02613240418118467,0.47038327526132406,0.5487804878048781,0.1829268292682927,0.7839721254355401,0.313588850174216,0.4965156794425087,1.9599303135888504,0.9930313588850174
Kévin N'Doram,Metz,FRA-Ligue 1,27,FRA,MF,1604.0,14.3,0.0,0.83,0.0,0.11221945137157106,0.0,0.0,0.22443890274314213,0.0,1.6271820448877807,1.1783042394014962,0.0,0.11221945137157106,1.5149625935162094,1.2905236907730673,0.3927680798004987,0.05610972568578553
Kévin Van Den Kerkhof,Metz,FRA-Ligue 1,27,ALG,"MF,FW",1913.0,35.0,0.05,0.83,0.047046523784631464,0.09409304756926293,0.047046523784631464,0.0,0.09409304756926293,0.0,0.3763721902770517,0.47046523784631467,0.2822791427077888,6.06900156821746,0.5645582854155776,1.1761630946157866,0.9409304756926293,0.3293256664924203
Ladislav Krejčí,Girona,ESP-La Liga,26,CZE,DF,4976.0,25.133333333333336,0.07,0.48666666666666664,0.07234726688102894,0.018086816720257234,0.07234726688102894,0.0,0.2713022508038585,0.018086816720257234,1.0671221864951768,0.4340836012861737,0.0,0.5064308681672026,1.2118167202572347,0.6692122186495177,0.7234726688102894,0.2713022508038585
